#TYPE System.Management.Automation.PSCustomObject
"PageType","Date","TimeGrain","TopicKey","TopicType","Title","LiveUrl","PageViews ","Visitors ","PrimaryKPIScore","BounceRate","ClickThroughRate","UserEngagementRate","AvgCopyTryEngagement","StartTutorialRate","DwellTimeDelta","DeployClickRate","ExitRate","CSATHelpfulRate","CSATResponseRate","GitHubOpenIssueCount","GitHubTotalIssueCount","OrganicSearchRate","DirectTrafficRate","MicrosoftTrafficRate","ExternalTrafficRate","SocialMediaTrafficRate","PaidSearchRate","Freshness","LastCommitDateTime","LinesChanged","LastReviewed","DaysSinceLastReview","Locale","RepoName","TranslationType","Pipeline","DevLang","MSProd","MSTechnology","MSService","MSSubService","Custom","Author","MSAuthor","Department","Manager","Bounces","ClickThroughs","FirstSteps","CopyTryClicks","TutorialLinkClicks","MedianDwellTimeSeconds","EstimatedSecondsToRead","DeployLinkClicks","Exits","CSATHelpfulRatings","CSATTotalResponses","PrimaryKPIScore10tile","PrimaryKPIScore25tile","BounceRate10tile","BounceRate25tile","ClickThroughRate10tile","ClickThroughRate25tile","DwellTimeDelta10tile","DwellTimeDelta25tile","ExitRate10tile","ExitRate25tile","CSATHelpfulRateMean","CSATHelpfulRateStDev","StartTutorialRate10tile","StartTutorialRate25tile","UserEngagementRate10tile","UserEngagementRate25tile","AvgCopyTryEngagement10tile","AvgCopyTryEngagement25tile","DeployClickRate10tile","DeployClickRate25tile"
"Conceptual","6/1/2019 0:00","month","2cb3f3a6-002a-574f-56e4-f02cd1386969","conceptual","Bitmap Element - Visual Studio | Microsoft Docs","https://docs.microsoft.com/en-us/visualstudio/extensibility/bitmap-element","10 ","10 ","-0.88","10.00%","10.00%","","","","-0.88","","","0.00%","0.00%","","","80.00%","10.00%","10.00%","0.00%","0.00%","0.00%","E: >120","6/4/2019 0:31","4","2016-11-04T00:00:00.0000000Z","1035","en-us","visualstudio-docs","","OPSPublishingJournal","","visual-studio-windows","[""vs-ide-sdk""]","","","","madsk","madsk","","jillfra","1","1","1","1","0","15","120","0","5","0","0","-1.04","-0.84","38.15%","14.30%","0.00%","13.50%","-98.33%","-95.83%","71.52%","50.00%","59.71%","40.55%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Conceptual","6/1/2019 0:00","month","ad2d2a35-347b-4a34-cc83-b06382e3ec5c","conceptual","Debugging a T4 Text Template - Visual Studio 2015 | Microsoft Docs","https://docs.microsoft.com/en-us/visualstudio/modeling/debugging-a-t4-text-template","10 ","9 ","-0.86","20.00%","30.00%","","","","-0.96","","","0.00%","0.00%","","","0.00%","30.00%","70.00%","0.00%","0.00%","0.00%","E: >120","1/25/2019 0:06","2","2016-11-15T00:00:00.0000000Z","1024","en-us","visualstudio-docs","","OPSPublishingJournal","","visual-studio-dev14","[""vs-ide-modeling""]","","","","gewarren","gewarren","","jillfra","2","3","0","0","0","26","660","0","4","0","0","-1.04","-0.84","38.15%","14.30%","0.00%","13.50%","-98.33%","-95.83%","71.52%","50.00%","59.71%","40.55%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Conceptual","6/1/2019 0:00","month","d44ca99b-3cd8-1be3-ff8c-58f6d9c08527","conceptual","Artboard modifier keys in Blend - Visual Studio | Microsoft Docs","https://docs.microsoft.com/en-us/visualstudio/designers/artboard-modifier-keys-in-blend","10 ","9 ","-0.80","20.00%","30.00%","","","","-0.90","","","0.00%","0.00%","","","30.00%","10.00%","60.00%","0.00%","0.00%","0.00%","E: >120","1/25/2019 0:07","2","2016-11-04T00:00:00.0000000Z","1035","en-us","visualstudio-docs","","OPSPublishingJournal","","visual-studio-windows","[""vs-ide-designers""]","","","","gewarren","gewarren","","jillfra","2","3","0","0","0","12","120","0","5","0","0","-1.04","-0.84","38.15%","14.30%","0.00%","13.50%","-98.33%","-95.83%","71.52%","50.00%","59.71%","40.55%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Conceptual","6/1/2019 0:00","month","4e319f9a-8f7b-058e-94e3-49334ecdf09e","conceptual","IDiaSymbol::get_symIndexId - Visual Studio | Microsoft Docs","https://docs.microsoft.com/en-us/visualstudio/debugger/debug-interface-access/idiasymbol-get-symindexid","10 ","6 ","-0.56","20.00%","50.00%","","","","-0.86","","","0.00%","0.00%","","","0.00%","0.00%","100.00%","0.00%","0.00%","0.00%","E: >120","4/25/2019 16:45","2","2016-11-04T00:00:00.0000000Z","1035","en-us","visualstudio-docs","","OPSPublishingJournal","","visual-studio-windows","[""vs-ide-debug""]","","","","mikejo","mikejo","","jillfra","2","5","0","0","0","17","120","0","1","0","0","-1.04","-0.84","38.15%","14.30%","0.00%","13.50%","-98.33%","-95.83%","71.52%","50.00%","59.71%","40.55%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Conceptual","6/1/2019 0:00","month","ca3a4f86-74f1-8463-46dc-faa5cdadd529","conceptual","Profiling the Performance of SharePoint Applications - Visual Studio | Microsoft Docs","https://docs.microsoft.com/en-us/visualstudio/sharepoint/profiling-the-performance-of-sharepoint-applications","10 ","8 ","-0.74","0.00%","20.00%","","","","-0.94","","","0.00%","0.00%","","","70.00%","0.00%","30.00%","0.00%","0.00%","0.00%","E: >120","1/28/2019 22:14","6","2017-02-02T00:00:00.0000000Z","945","en-us","visualstudio-docs","","OPSPublishingJournal","","visual-studio-windows","[""sharepoint-development""]","","","","johnhart","johnhart","","jillfra","0","2","0","0","0","18","300","0","5","0","0","-1.04","-0.84","38.15%","14.30%","0.00%","13.50%","-98.33%","-95.83%","71.52%","50.00%","59.71%","40.55%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Conceptual","6/1/2019 0:00","month","b2ee30e2-3439-f5af-7c1b-7ba4ab9198a5","conceptual","Download satellite assembly on demand using ClickOnce designer - Visual Studio | Microsoft Docs","https://docs.microsoft.com/en-us/visualstudio/deployment/walkthrough-downloading-satellite-assemblies-on-demand-with-the-clickonce-deployment-api-using-the-designer","10 ","9 ","-0.55","10.00%","50.00%","","","","-0.95","","","0.00%","0.00%","","","0.00%","10.00%","90.00%","0.00%","0.00%","0.00%","E: >120","6/4/2019 0:31","2","2016-11-04T00:00:00.0000000Z","1035","en-us","visualstudio-docs","","OPSPublishingJournal","","visual-studio-windows","[""vs-ide-deployment""]","","","","mikejo","mikejo","","jillfra","1","5","0","0","0","9","180","0","1","0","0","-1.04","-0.84","38.15%","14.30%","0.00%","13.50%","-98.33%","-95.83%","71.52%","50.00%","59.71%","40.55%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Conceptual","6/1/2019 0:00","month","0eaf871f-8aef-baa7-fab7-d513fe2411b1","conceptual","How to: Search for a Thread in Threads View - Visual Studio | Microsoft Docs","https://docs.microsoft.com/en-us/visualstudio/debugger/how-to-search-for-a-thread-in-threads-view","10 ","10 ","-0.51","10.00%","50.00%","","","","-0.91","","","0.00%","0.00%","","","20.00%","0.00%","80.00%","0.00%","0.00%","0.00%","E: >120","4/25/2019 16:45","2","2016-11-04T00:00:00.0000000Z","1035","en-us","visualstudio-docs","","OPSPublishingJournal","","visual-studio-windows","[""vs-ide-debug""]","","","","mikejo","mikejo","","jillfra","1","5","0","0","0","11","120","0","4","0","0","-1.04","-0.84","38.15%","14.30%","0.00%","13.50%","-98.33%","-95.83%","71.52%","50.00%","59.71%","40.55%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Conceptual","6/1/2019 0:00","month","a501c482-c583-35d4-6f50-ad85463517dd","conceptual","How to: Export a Texture that has Premultiplied Alpha - Visual Studio | Microsoft Docs","https://docs.microsoft.com/en-us/visualstudio/designers/how-to-export-a-texture-that-has-premultiplied-alpha","10 ","10 ","-0.30","0.00%","50.00%","","","","-0.80","","","0.00%","0.00%","","","30.00%","10.00%","60.00%","0.00%","0.00%","0.00%","E: >120","","","2016-11-04T00:00:00.0000000Z","1035","en-us","visualstudio-docs","","OPSPublishingJournal","","visual-studio-windows","[""vs-ide-designers""]","","","","gewarren","gewarren","","jillfra","0","5","0","0","0","24","120","0","5","0","0","-1.04","-0.84","38.15%","14.30%","0.00%","13.50%","-98.33%","-95.83%","71.52%","50.00%","59.71%","40.55%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Conceptual","6/1/2019 0:00","month","3fae634b-99a9-b465-c539-ba364b4545f0","conceptual","XmlMappedRange control - Visual Studio | Microsoft Docs","https://docs.microsoft.com/en-us/visualstudio/vsto/xmlmappedrange-control","10 ","8 ","-0.39","10.00%","50.00%","","","","-0.79","","","0.00%","0.00%","","","10.00%","30.00%","60.00%","0.00%","0.00%","0.00%","E: >120","","","2017-02-02T00:00:00.0000000Z","945","en-us","visualstudio-docs","","OPSPublishingJournal","","visual-studio-windows","[""office-development""]","","","","johnhart","johnhart","","jillfra","1","5","0","0","0","25","120","0","1","0","0","-1.04","-0.84","38.15%","14.30%","0.00%","13.50%","-98.33%","-95.83%","71.52%","50.00%","59.71%","40.55%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Conceptual","6/1/2019 0:00","month","c2410537-d446-54a3-a521-75145876a20b","conceptual","How to: Run Code When Deployment Steps are Executed - Visual Studio | Microsoft Docs","https://docs.microsoft.com/en-us/visualstudio/sharepoint/how-to-run-code-when-deployment-steps-are-executed","10 ","7 ","-1.03","20.00%","10.00%","","","","-0.93","","","0.00%","14.29%","","","40.00%","20.00%","40.00%","0.00%","0.00%","0.00%","E: >120","4/17/2019 21:17","6","2017-02-02T00:00:00.0000000Z","945","en-us","visualstudio-docs","","OPSPublishingJournal","","visual-studio-windows","[""sharepoint-development""]","","","","johnhart","johnhart","","jillfra","2","1","0","0","0","9","120","0","4","0","1","-1.04","-0.84","38.15%","14.30%","0.00%","13.50%","-98.33%","-95.83%","71.52%","50.00%","59.71%","40.55%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
